Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2023-03-03,314,316.2,317,311.8,3.25,-2.35
2023-03-01,326.4,323.8,327.8,319,8.89,-1.28
2023-02-28,316,328,329.2,315.4,18.53,3.8
2023-02-27,320.8,316,321.4,316,3.1,-0.5
2023-02-24,315,317.6,319.2,313.2,5.41,1.15
2023-02-23,312,314,315,310,4.81,0.64
2023-02-22,318.2,312,318.2,310,8.68,-0.83
2023-02-21,320.6,314.6,320.6,310.4,6.5,-1.44
2023-02-20,322.8,319.2,322.8,314.2,5.41,-0.87
2023-02-17,323.8,322,326,315,19.16,-1.59
2023-02-16,321.6,327.2,327.8,302.2,54.72,1.8
2023-02-15,320,321.4,325,317,29.08,0.44
2023-02-14,315,320,320.8,313.4,15.51,2.24
2023-02-13,310,313,316,306.6,8.43,1.16
2023-02-10,321,309.4,322,305.8,12.78,-3.01
2023-02-09,320.6,319,328.2,318,12.13,0.31
2023-02-08,314,318,320,314,6.78,1.73
2023-02-07,315,312.6,319,311.6,5.98,0
2023-02-06,320,312.6,322.2,310.4,6.9,-2.31
2023-02-03,320.2,320,322.8,316.2,10.25,0.38
2023-02-02,320.4,318.8,323.6,313,9.26,1.27
2023-02-01,320,314.8,321.8,314,8.59,-0.94
2023-01-31,309,317.8,320.8,307.8,13.29,2.78
2023-01-30,310,309.2,313.6,306.2,9.12,-2.58
2023-01-27,325,317.4,325.8,316.2,8.6,-1.61
2023-01-26,317.8,322.6,324,309.8,9.33,2.94
2023-01-25,322.8,313.4,328.6,308.4,35.05,-4.74
2023-01-24,331.6,329,334,325.4,9.03,0.3
2023-01-23,335,328,335,325.2,13.48,-0.67
2023-01-20,335.2,330.2,338,328.6,10.8,-0.24
2023-01-19,330,331,334.8,324.6,10.9,-0.54
2023-01-18,335.2,332.8,342.8,329.2,12.38,-0.72
2023-01-17,351,335.2,351,333,22.25,-4.39
2023-01-16,344.2,350.6,351.8,332.2,16.81,2.04
2023-01-13,346.2,343.6,348,340,14.72,-0.23
2023-01-12,339,344.4,351,336.4,24.48,1.35
2023-01-11,358,339.8,360.8,339.4,30.05,-4.55
2023-01-10,345,356,359.6,341.4,18.27,3.19
2023-01-09,340,345,346.4,338.6,19.67,2.56
2023-01-05,332,336.4,344,328,27.05,0.72
2023-01-04,324,334,337.4,316,32.21,3.66
2023-01-03,297.4,322.2,328.2,297,31.69,8.34
2023-01-02,296,297.4,302.8,294,3.2,0.47
2022-12-30,296.6,296,298.2,292.4,10.24,-0.27
2022-12-29,293.8,296.8,298.4,288.2,8.13,1.3
2022-12-28,286,293,293.8,281.4,7.69,2.09
2022-12-27,300,287,302,285,7.37,-4.33
2022-12-23,303.6,300,303.6,295,8.51,-0.46
2022-12-22,295.6,301.4,308,294,13.48,2.8
2022-12-21,285,293.2,294.6,281.2,7.39,3.9
2022-12-20,277.6,282.2,284.8,272.8,9.2,1.07
2022-12-19,282,279.2,286,279.2,6.24,-0.71
2022-12-16,280,281.2,287,277.6,29.63,-1.33
2022-12-15,295,285,296.8,281.8,11.69,-3.39
2022-12-14,293,295,296.8,287.6,9.65,1.72
2022-12-13,290.8,290,298.6,285.2,26.3,0.21
2022-12-12,290.8,289.4,290.8,278.2,8.42,2.92
2022-12-09,289.8,281.2,290,280,14.14,-1.54
2022-12-08,296.2,285.6,296.2,282.2,11.24,-3.19
2022-12-07,295,295,300.6,291.8,10.32,-0.47
2022-12-06,307.8,296.4,307.8,295.4,7.44,-3.95
2022-12-05,312,308.6,314.2,307,10.4,-1.09
2022-12-02,316,312,317,311,13.04,-2.19
2022-12-01,320.8,319,324,316,10.32,1.21
2022-11-30,321.6,315.2,322,313.6,25.68,-0.25
2022-11-29,314,316,318,312.2,9.48,0.64
2022-11-28,322.8,314,324,314,11.82,-1.94
2022-11-25,320.2,320.2,320.2,320.2,0,0
2022-11-24,318.8,320.2,322.2,315.2,4.81,1.72
2022-11-23,316.6,314.8,322.2,311,6.57,0.77
2022-11-22,310,312.4,319,310,7.81,-0.45
2022-11-21,319.8,313.8,323.4,312.2,13.36,-2
2022-11-18,321.2,320.2,333,317.4,10.36,-2.26
2022-11-17,331.6,327.6,335,318.8,14.8,-1.15
2022-11-16,333,331.4,336.2,323.2,25.4,-1.13
2022-11-15,340.2,335.2,343.2,323,24.14,-1.35
2022-11-14,320,339.8,348,317.8,51.22,6.19
2022-11-10,311,320,326,300.4,29.46,2.5
2022-11-09,293,312.2,317.6,287.2,33.76,8.18
2022-11-08,276.2,288.6,296,270.2,19.04,4.64
2022-11-07,264,275.8,279.4,263,10.76,3.76
2022-11-04,264,265.8,268.4,259.8,9.78,1.92
2022-11-03,260,260.8,265,250.4,16.34,-3.34
2022-11-02,270,269.8,278,262.2,20.96,0.82
2022-10-31,255,267.6,268.8,254,14.46,4.94
2022-10-28,255.6,255,258.8,251.6,9.98,-0.23
2022-10-27,244.8,255.6,256,242.2,20.24,3.9
2022-10-26,239,246,247,238.2,12.51,2.93
2022-10-25,234.2,239,241.8,233,14.06,2.05
2022-10-24,233,234.2,235.6,222,19.56,2
2022-10-21,217,229.6,233,213,27.21,5.03
2022-10-20,204.8,218.6,218.8,199.3,14.62,7.16
2022-10-19,201,204,206.4,199.1,9.56,0.69
2022-10-18,190,202.6,205.8,190,18.27,8.81
2022-10-17,187.8,186.2,189.3,181.4,9.97,-1.12
2022-10-14,187.3,188.3,190.4,183.8,13.19,4.26
2022-10-13,182.1,180.6,186.6,175.2,11.59,-1.42
2022-10-12,186.5,183.2,187.5,181,8.19,-0.38
2022-10-11,185.1,183.9,190.5,179.5,13.03,-0.65
2022-10-10,194,185.1,194,185.1,17.74,-5.46
2022-10-07,199,195.8,204.6,193.1,13.38,-2.1
2022-10-06,205.4,200,212.8,198.6,11.45,-1.77
2022-10-05,209.4,203.6,209.6,202.8,10.14,-3.14
2022-10-04,199.8,210.2,210.2,198.1,15.97,7.57
2022-10-03,199.6,195.4,200.2,186.6,15.44,-2.5
2022-09-30,202.8,200.4,206.2,197,12.48,-1.38
2022-09-29,215,203.2,215.8,201.6,12.77,-5.49
2022-09-28,216,215,220.6,207,20.77,-4.36
2022-09-27,224.2,224.8,230.2,220.2,13.35,0.45
2022-09-26,227.8,223.8,231.6,218.2,10.83,-2.01
2022-09-23,249,228.4,249,224.2,12.21,-6.39
2022-09-22,242.6,244,248,225,7.62,-0.08
2022-09-21,248,244.2,250.4,242.4,7.63,-1.77
2022-09-20,254,248.6,257.6,247,12.88,-0.16
2022-09-19,248.6,249,254.4,246,5.26,-1.03
2022-09-16,256.8,251.6,261.8,245.6,19.84,-2.93
2022-09-15,264,259.2,265,254.2,10.3,-1.59
2022-09-14,253,263.4,264.8,253,12.67,3.62
2022-09-13,258,254.2,261.4,249.2,14.52,-0.7
2022-09-12,248,256,258.8,240,17.13,4.15
2022-09-09,232,245.8,248,232,11.04,7.9
2022-09-08,215,227.8,229.2,215,13.47,7.45
2022-09-07,214.8,212,214.8,206.6,9.83,-1.4
2022-09-06,220,215,221.4,211.8,10.16,-0.92
2022-09-05,216,217,221,211,5.28,0.65
2022-09-02,212,215.6,217.6,205,24.11,4.66
2022-09-01,213.2,206,214.8,205.4,12.35,-5.07
2022-08-31,211.8,217,220.4,209,12.94,1.78
2022-08-30,220,213.2,224.4,213.2,4.91,-1.93
2022-08-29,225,217.4,225,216.2,5.51,-4.23
2022-08-26,232,227,233.6,225.2,5.83,-2.16
2022-08-25,234.4,232,238.2,230,5.66,1.75
2022-08-24,235.6,228,235.6,226,8.39,-2.15
2022-08-23,234,233,238.8,231,10.55,-0.43
2022-08-22,241,234,242.2,229.8,9.91,-4.02
2022-08-19,249.4,243.8,253,242.6,12.53,-3.86
2022-08-18,245,253.6,256.6,242.8,13.25,3.09
2022-08-17,260,246,261.8,243.8,24.81,-4.73
2022-08-16,253,258.2,264,251.6,20.39,2.79
2022-08-12,247.2,251.2,253.2,245,10.07,2.7
2022-08-11,239,244.6,244.6,235.4,8.36,4
2022-08-10,230.2,235.2,241.8,224.6,15.21,1.03
2022-08-09,234.8,232.8,245.2,232,20.16,-0.85
2022-08-08,218,234.8,235,214.8,10.21,7.81
2022-08-05,215,217.8,221,213.2,10.07,0.83
2022-08-04,214.4,216,220,211.6,5.94,-0.09
2022-08-03,213.4,216.2,222.8,211,9.14,-1.82
2022-08-02,222.8,220.2,222.8,217.8,6.03,-1.17
2022-08-01,223,222.8,227.2,218.4,8.04,0.91
2022-07-29,217,220.8,222.2,211.8,9.98,4.94
2022-07-28,207,210.4,214.8,207,10.03,2.24
2022-07-27,206,205.8,208,203.2,8.38,0.78
2022-07-26,212,204.2,212.6,202.6,6.4,-4.04
2022-07-25,212,212.8,215,207.4,6.36,0.76
2022-07-22,219.8,211.2,219.8,210,5.65,-1.31
2022-07-21,210,214,217.6,205.6,10.92,2.39
2022-07-20,208,209,213,204,7.39,0.97
2022-07-19,199.6,207,207,197,7.31,3.4
2022-07-18,196.2,200.2,202,196.2,10.83,3.3
2022-07-15,193.2,193.8,198.7,190.1,11.11,0.94
2022-07-14,210.8,192,210.8,190.4,15.83,-7.69
2022-07-13,217,208,217.6,207.2,9.22,-4.15
2022-07-12,225.2,217,228,216.2,11.44,-4.82
2022-07-11,229.2,228,234.8,224.6,8.85,-3.14
2022-07-08,230.8,235.4,236.4,228.8,14.14,1.9
2022-07-07,220,231,232,220,8.91,5.38
2022-07-06,219.4,219.2,222,213,5.66,1.95
2022-07-05,226.8,215,229.6,212.2,7.22,-4.53
2022-07-04,236,225.2,236,218.2,10.58,-3.68
2022-07-01,224.8,233.8,236.6,224,7.2,4.1
2022-06-30,232,224.6,233,223.6,12.59,-4.51
2022-06-29,239.8,235.2,239.8,233,7.51,-1.92
2022-06-28,241,239.8,245,237.2,6.79,0.17
2022-06-27,242,239.4,245.6,236.4,8.67,0
2022-06-24,246,239.4,246,236,6.07,-0.75
2022-06-23,245,241.2,248.8,238.2,10.94,-1.63
2022-06-22,246,245.2,247.8,238.8,5.5,-0.81
2022-06-21,251,247.2,252,242.6,4.32,-0.32
2022-06-20,243.4,248,249.8,240,8.28,3.94
2022-06-17,234,238.6,245,231.4,19.1,-0.58
2022-06-15,238,240,243,233.2,9.59,2.83
2022-06-14,240,233.4,242,232,15.92,-0.26
2022-06-13,245.2,234,245.2,231.2,12.56,-6.47
2022-06-10,257,250.2,257.2,248,9.78,-2.34
2022-06-09,257,256.2,270.4,254.6,13.26,-1.08
2022-06-08,270.6,259,272.4,258.4,14.08,-4.15
2022-06-07,275.2,270.2,275.2,268.2,12.34,-3.43
2022-06-06,274.6,279.8,280.8,272.6,19.76,1.23
2022-06-03,281,276.4,285,272.8,16,-0.65
2022-06-02,278,278.2,285.8,274.4,8.8,-0.07
2022-06-01,278.6,278.4,283,272.4,16.1,0
2022-05-31,286.2,278.4,286.6,275.8,35.86,-2.73
2022-05-30,276,286.2,288.6,272,21.04,5.61
2022-05-27,274.8,271,274.8,268.4,6.52,-0.44
2022-05-26,270,272.2,273.8,262.6,13.17,1.87
2022-05-25,268,267.2,271,260.8,10.4,1.44
2022-05-24,275,263.4,281.2,256.2,33.29,-4.57
2022-05-23,265.2,276,277.6,265.2,8.9,5.59
2022-05-20,270,261.4,271,261,10.4,-1.28
2022-05-19,262.6,264.8,270.4,259.6,14.52,-1.93
2022-05-18,282,270,289,270,29.88,-1.6
2022-05-17,266,274.4,281.8,262.4,20.72,4.1
2022-05-16,276,263.6,282.2,260.8,24.57,-3.44
2022-05-13,270,273,275.4,265.2,11.66,5.08
2022-05-12,252.4,259.8,265.4,243.2,20.78,-1.22
2022-05-11,264,263,270.6,260.2,15.71,3.22
2022-05-10,261.8,254.8,263.4,247.4,18.53,-2.15
2022-05-09,270.4,260.4,270.4,260.2,9.45,-3.98
2022-05-06,276.8,271.2,279.8,265,17.66,-2.31
2022-05-05,293,277.6,295.8,277.4,12.54,-2.73
2022-05-04,297,285.4,297,285.4,12.39,-3.78
2022-05-02,300,296.6,301.4,284.8,9.37,-0.87
2022-04-29,301.6,299.2,310.6,296,19.19,1.22
2022-04-28,298.2,295.6,303.6,293.2,15.42,-0.14
2022-04-27,315.6,296,317,288.2,29.67,-7.33
2022-04-26,325.8,319.4,325.8,316,15.38,0.13
2022-04-25,336.8,319,341.6,318.6,25.45,-5.23
2022-04-22,336.6,336.6,336.6,336.6,0,0
2022-04-21,338.8,336.6,347,328.6,19.42,1.2
